Product Name,Printing,Condition,Rarity,Number,Market Price
Code Card, Pitch Black Booster Pack,Normal,Near Mint,0,$0.00
Tropius,Reverse Holofoil,Near Mint,Common,1,$0.14 
Grubbin,Reverse Holofoil,Near Mint,Common,2,$0.15 
Fomantis - 003/084,Normal,Near Mint,Common,3,$0.09 
Lurantis ex - 004/084,Holofoil,Near Mint,Double Rare,4,$0.42 
Poltchageist,Reverse Holofoil,Near Mint,Common,5,$0.21 
Sinistcha,Reverse Holofoil,Near Mint,Uncommon,6,$0.21 
Heatran,Reverse Holofoil,Near Mint,Uncommon,7,$0.25 
Mega Delphox ex,Holofoil,Near Mint,Double Rare,8,$0.64 
Sizzlipede,Reverse Holofoil,Near Mint,Common,9,$0.15 
Centiskorch,Reverse Holofoil,Near Mint,Common,10,$0.15 
Charcadet,Normal,Near Mint,Common,11,$0.04 
Armarouge - 012/084,Reverse Holofoil,Near Mint,Rare,12,$0.28 
Goldeen - 013/084,Reverse Holofoil,Near Mint,Common,13,$0.16 
Seaking,Normal,Near Mint,Uncommon,14,$0.03 
Wailmer,Reverse Holofoil,Near Mint,Common,15,$0.25 
Wailord ex - 016/084,Holofoil,Near Mint,Double Rare,16,$0.41 
Relicanth,Reverse Holofoil,Near Mint,Uncommon,17,$0.21 
Popplio,Reverse Holofoil,Near Mint,Common,18,$0.21 
Brionne,Reverse Holofoil,Near Mint,Common,19,$0.16 
Primarina - 020/084,Reverse Holofoil,Near Mint,Rare,20,$0.28 
Finizen,Reverse Holofoil,Near Mint,Common,21,$0.22 
Palafin,Reverse Holofoil,Near Mint,Uncommon,22,$0.16 
Electrike,Reverse Holofoil,Near Mint,Common,23,$0.21 
Manectric - 024/084,Reverse Holofoil,Near Mint,Uncommon,24,$0.21 
Charjabug,Normal,Near Mint,Common,25,$0.05 
Vikavolt,Reverse Holofoil,Near Mint,Uncommon,26,$0.16 
Mega Zeraora ex - 027/084,Holofoil,Near Mint,Double Rare,27,$0.52 
Miraidon,Reverse Holofoil,Near Mint,Rare,28,$0.26 
Slowpoke,Reverse Holofoil,Near Mint,Common,29,$0.29 
Slowbro - 030/084,Reverse Holofoil,Near Mint,Uncommon,30,$0.30 
Mega Slowbro ex,Holofoil,Near Mint,Double Rare,31,$0.66 
Jynx,Reverse Holofoil,Near Mint,Common,32,$0.18 
Shuppet,Reverse Holofoil,Near Mint,Common,33,$0.34 
Banette,Reverse Holofoil,Near Mint,Uncommon,34,$0.42 
Spiritomb,Reverse Holofoil,Near Mint,Rare,35,$0.54 
Litwick,Reverse Holofoil,Near Mint,Common,36,$0.25 
Lampent,Reverse Holofoil,Near Mint,Uncommon,37,$0.25 
Mega Chandelure ex - 038/084,Holofoil,Near Mint,Double Rare,38,$0.65 
Dhelmise - 039/084,Reverse Holofoil,Near Mint,Uncommon,39,$0.30 
Marshadow,Reverse Holofoil,Near Mint,Uncommon,40,$0.25 
Annihilape,Reverse Holofoil,Near Mint,Uncommon,41,$0.22 
Mankey,Reverse Holofoil,Near Mint,Common,42,$0.19 
Primeape,Reverse Holofoil,Near Mint,Common,43,$0.13 
Cranidos,Reverse Holofoil,Near Mint,Common,44,$0.24 
Rampardos ex - 045/084,Holofoil,Near Mint,Double Rare,45,$0.56 
Drilbur,Reverse Holofoil,Near Mint,Common,46,$0.28 
Koraidon,Reverse Holofoil,Near Mint,Rare,47,$0.28 
Mega Darkrai ex - 048/084,Holofoil,Near Mint,Double Rare,48,$0.86 
Vullaby,Reverse Holofoil,Near Mint,Common,49,$0.20 
Mandibuzz,Reverse Holofoil,Near Mint,Common,50,$0.23 
Inkay,Reverse Holofoil,Near Mint,Common,51,$0.21 
Malamar,Reverse Holofoil,Near Mint,Uncommon,52,$0.21 
Nickit,Reverse Holofoil,Near Mint,Common,53,$0.21 
Thievul - 054/084,Reverse Holofoil,Near Mint,Uncommon,54,$0.18 
Morpeko ex - 055/084,Holofoil,Near Mint,Double Rare,55,$0.48 
Zarude,Holofoil,Near Mint,Rare,56,$0.19 
Maschiff,Reverse Holofoil,Near Mint,Common,57,$0.21 
Mabosstiff,Reverse Holofoil,Near Mint,Common,58,$0.21 
Chi-Yu,Reverse Holofoil,Near Mint,Rare,59,$0.25 
Skarmory,Reverse Holofoil,Near Mint,Common,60,$0.19 
Shieldon,Reverse Holofoil,Near Mint,Common,61,$0.17 
Bastiodon - 062/084,Reverse Holofoil,Near Mint,Rare,62,$0.33 
Bronzor,Reverse Holofoil,Near Mint,Common,63,$0.10 
Bronzong,Reverse Holofoil,Near Mint,Uncommon,64,$0.12 
Mega Excadrill ex - 065/084,Holofoil,Near Mint,Double Rare,65,$1.21 
Pikipek,Reverse Holofoil,Near Mint,Common,66,$0.20 
Trumbeak,Reverse Holofoil,Near Mint,Common,67,$0.21 
Toucannon - 068/084,Reverse Holofoil,Near Mint,Uncommon,68,$0.25 
Type: Null,Reverse Holofoil,Near Mint,Common,69,$0.19 
Silvally - 070/084,Reverse Holofoil,Near Mint,Rare,70,$0.24 
Bombirdier,Reverse Holofoil,Near Mint,Common,71,$0.12 
Antique Armor Fossil,Reverse Holofoil,Near Mint,Common,72,$0.23 
Antique Skull Fossil,Reverse Holofoil,Near Mint,Common,73,$0.18 
Backtrack Badge,Reverse Holofoil,Near Mint,Uncommon,74,$0.23 
Dark Bell - 075/084,Reverse Holofoil,Near Mint,Uncommon,75,$0.30 
Fossil Quarry,Reverse Holofoil,Near Mint,Uncommon,76,$0.25 
Gladion's Final Battle - 077/084,Reverse Holofoil,Near Mint,Uncommon,77,$0.25 
Gwynn - 078/084,Reverse Holofoil,Near Mint,Uncommon,78,$0.33 
Jett,Reverse Holofoil,Near Mint,Uncommon,79,$0.21 
Misty's Vitality - 080/084,Reverse Holofoil,Near Mint,Uncommon,80,$0.26 
Rust Syndicate Grunt - 081/084,Reverse Holofoil,Near Mint,Uncommon,81,$0.22 
Tremendous Bomb - 082/084,Reverse Holofoil,Near Mint,Uncommon,82,$0.20 
Shadowy Darkness Energy,Reverse Holofoil,Near Mint,Rare,83,$0.25 
Voltaic Lightning Energy,Reverse Holofoil,Near Mint,Rare,84,$0.29 
Fomantis - 085/084,Holofoil,Near Mint,Illustration Rare,85,$3.87 
Armarouge - 086/084,Holofoil,Near Mint,Illustration Rare,86,$5.84 
